,CFNAI,CPI,M2,ISM,bfly,divy,Spread
2007-12-01,-0.644257,0.04108813392417532,0.05441619199728631,-0.14522058823529405,-0.49640000000000084,2.176219783,0.06995356610061954
2008-01-01,-0.530877,0.04294695655165981,0.05523857825113043,-0.14893617021276595,-0.8967000000000005,2.0436376870000004,-0.07786896220061068
2008-02-01,-1.16178,0.04142959270611968,0.06859490180631367,-0.1145038167938931,-0.8070000000000004,2.328038727,-0.06008854171048017
2008-03-01,-1.2333379999999998,0.03974903550134434,0.06774391434068527,-0.019354838709677358,-1.1525999999999998,2.265731602,-0.12022100627088816
2008-04-01,-1.216051,0.039037609759887903,0.06505694383016358,-0.03125,-1.5856000000000001,2.3142682359999998,-0.04242297639069037
2008-05-01,-1.397437,0.04088413823123993,0.06620136825374878,0.04525862068965525,-1.506199999999999,2.3043805419999996,-0.01887933598420599
2008-06-01,-1.195798,0.04935966105947864,0.06131906818119304,0.0899122807017545,-1.4754000000000005,2.6383318000000004,0.07294999237115007
2008-07-01,-1.9133529999999999,0.054975120783418374,0.06522721979422119,0.010752688172043001,-1.5985000000000003,2.467179626,0.01997735427346292
2008-08-01,-2.061073,0.053080171620912386,0.04879989212513469,-0.03711340206185565,-1.4525000000000006,2.32635524,-0.043636832633160205
2008-09-01,-3.706443,0.04953319875136075,0.07357959161566385,-0.15895372233400418,-2.3136,2.340918075,-0.10433796979516274
2008-10-01,-1.958584,0.03731057889956513,0.07731017410007701,-0.2936170212765957,-2.8230999999999997,3.017290676,-0.17047418037189832
2008-11-01,-3.667032,0.010999174706166848,0.0758454106280193,-0.4089935760171306,-2.0894,3.669518289,-0.16504232764348015
2008-12-01,-4.3722389999999995,-0.0002222800255385904,0.09932842723287894,-0.4449760765550239,-0.9796000000000002,3.6311412999999995,-0.09787803452736765
2009-01-01,-4.686397,-0.0011358601902212717,0.10586884545551634,-0.04216867469879526,-1.6016000000000004,4.574214167,0.2527105937165557
2009-02-01,-2.410095,8.463140671510772e-05,0.09149552395997884,0.188405797101449,-1.8112000000000004,5.490919395,0.48504678210667285
2009-03-01,-3.752982,-0.004464787676623727,0.09319057256642949,0.7370689655172413,-1.5134999999999998,4.3367845339999995,0.45972633084713843
