INDEX_NAME,INDEX_CODE,INDEX_DATE,CLOSE_INDEX_VALUE,NET_CHANGE,% CHANGE
S&P SmallCap 600 Pure Value (TR),600PVTR,25-Feb-15,8903.908006,0.117854904,1.32365E-05
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Feb-15,8958.186831,54.2788256,0.006096068
S&P SmallCap 600 Pure Value (TR),600PVTR,27-Feb-15,8966.766396,8.579564739,0.000957735
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Mar-15,9021.495334,54.72893782,0.006103531
S&P SmallCap 600 Pure Value (TR),600PVTR,3-Mar-15,9011.914961,-9.580373005,-0.00106195
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Mar-15,8973.229049,-38.68591208,-0.004292752
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Mar-15,8960.38719,-12.84185824,-0.00143113
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Mar-15,8843.76434,-116.6228499,-0.013015381
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Mar-15,8882.112485,38.34814475,0.004336179
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Mar-15,8713.426777,-168.6857079,-0.01899162
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Mar-15,8773.735829,60.30905186,0.006921393
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Mar-15,8925.529145,151.7933158,0.017300876
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Mar-15,8874.808057,-50.72108801,-0.005682698
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Mar-15,8849.184749,-25.62330817,-0.002887196
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Mar-15,8878.990295,29.80554572,0.003368169
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Mar-15,9021.355198,142.3649036,0.016033907
S&P SmallCap 600 Pure Value (TR),600PVTR,19-Mar-15,8967.66617,-53.68902766,-0.005951326
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Mar-15,9074.033134,106.3669634,0.011861164
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Mar-15,9112.694577,38.66144319,0.004260668
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Mar-15,9143.680068,30.98549141,0.003400256
S&P SmallCap 600 Pure Value (TR),600PVTR,25-Mar-15,9001.640582,-142.0394861,-0.015534171
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Mar-15,8973.352391,-28.28819179,-0.00314256
S&P SmallCap 600 Pure Value (TR),600PVTR,27-Mar-15,8967.220912,-6.131478284,-0.000683299
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Mar-15,9061.374632,94.15371957,0.010499766
S&P SmallCap 600 Pure Value (TR),600PVTR,31-Mar-15,9050.044706,-11.32992598,-0.001250354
S&P SmallCap 600 Pure Value (TR),600PVTR,1-Apr-15,9060.051907,10.00720098,0.001105763
